species_common_name,species_slug,audio_event_id,item_dir,package_status,source_resolution_kind,source_audio_resolved
Australian Raven,australian_raven,16845351,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2_s3reuse/australian_raven/samples/011_audioevent_16845351,packaged,s3_downloaded_clip,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2/australian_raven/samples/012_audioevent_16845351/downloaded_source.webm
Australian Raven,australian_raven,11494309,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2_s3reuse/australian_raven/samples/012_audioevent_11494309,packaged,s3_downloaded_clip,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2/australian_raven/samples/013_audioevent_11494309/downloaded_source.webm
Australian Raven,australian_raven,18314833,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2_s3reuse/australian_raven/samples/013_audioevent_18314833,packaged,s3_downloaded_clip,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2/australian_raven/samples/015_audioevent_18314833/downloaded_source.webm
Australian Raven,australian_raven,10290932,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2_s3reuse/australian_raven/samples/014_audioevent_10290932,packaged,s3_downloaded_clip,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2/australian_raven/samples/016_audioevent_10290932/downloaded_source.webm
Australian Raven,australian_raven,12846058,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2_s3reuse/australian_raven/samples/015_audioevent_12846058,packaged,s3_downloaded_clip,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2/australian_raven/samples/017_audioevent_12846058/downloaded_source.webm
Australian Raven,australian_raven,5197460,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2_s3reuse/australian_raven/samples/016_audioevent_5197460,packaged,s3_downloaded_clip,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2/australian_raven/samples/018_audioevent_5197460/downloaded_source.webm
Australian Raven,australian_raven,13348935,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2_s3reuse/australian_raven/samples/017_audioevent_13348935,packaged,s3_downloaded_clip,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2/australian_raven/samples/019_audioevent_13348935/downloaded_source.webm
Australian Raven,australian_raven,10233915,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2_s3reuse/australian_raven/samples/018_audioevent_10233915,packaged,s3_downloaded_clip,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2/australian_raven/samples/020_audioevent_10233915/downloaded_source.webm
Australian Raven,australian_raven,5902082,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2_s3reuse/australian_raven/samples/019_audioevent_5902082,packaged,s3_downloaded_clip,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2/australian_raven/samples/021_audioevent_5902082/downloaded_source.webm
Australian Raven,australian_raven,17335543,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2_s3reuse/australian_raven/samples/020_audioevent_17335543,packaged,s3_downloaded_clip,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2/australian_raven/samples/022_audioevent_17335543/downloaded_source.webm
Australian Raven,australian_raven,7247654,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2_s3reuse/australian_raven/samples/021_audioevent_7247654,packaged,s3_downloaded_clip,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2/australian_raven/samples/023_audioevent_7247654/downloaded_source.webm
Australian Raven,australian_raven,13348933,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2_s3reuse/australian_raven/samples/022_audioevent_13348933,packaged,s3_downloaded_clip,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2/australian_raven/samples/024_audioevent_13348933/downloaded_source.webm
Australian Raven,australian_raven,16845348,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2_s3reuse/australian_raven/samples/023_audioevent_16845348,packaged,s3_downloaded_clip,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2/australian_raven/samples/025_audioevent_16845348/downloaded_source.webm
Australian Raven,australian_raven,18314832,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2_s3reuse/australian_raven/samples/024_audioevent_18314832,packaged,s3_downloaded_clip,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2/australian_raven/samples/026_audioevent_18314832/downloaded_source.webm
Australian Raven,australian_raven,10290912,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2_s3reuse/australian_raven/samples/025_audioevent_10290912,packaged,s3_downloaded_clip,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2/australian_raven/samples/027_audioevent_10290912/downloaded_source.webm
Australian Raven,australian_raven,7247657,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2_s3reuse/australian_raven/samples/026_audioevent_7247657,packaged,s3_downloaded_clip,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2/australian_raven/samples/028_audioevent_7247657/downloaded_source.webm
Australian Raven,australian_raven,21662692,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2_s3reuse/australian_raven/samples/027_audioevent_21662692,packaged,s3_downloaded_clip,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2/australian_raven/samples/029_audioevent_21662692/downloaded_source.webm
Australian Raven,australian_raven,13781529,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2_s3reuse/australian_raven/samples/028_audioevent_13781529,packaged,s3_downloaded_clip,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2/australian_raven/samples/031_audioevent_13781529/downloaded_source.webm
Australian Raven,australian_raven,14096956,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2_s3reuse/australian_raven/samples/029_audioevent_14096956,packaged,s3_downloaded_clip,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2/australian_raven/samples/032_audioevent_14096956/downloaded_source.webm
Australian Raven,australian_raven,4542094,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2_s3reuse/australian_raven/samples/030_audioevent_4542094,packaged,s3_downloaded_clip,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2/australian_raven/samples/033_audioevent_4542094/downloaded_source.webm
Australian Raven,australian_raven,22546086,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2_s3reuse/australian_raven/samples/031_audioevent_22546086,packaged,s3_downloaded_clip,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2/australian_raven/samples/034_audioevent_22546086/downloaded_source.webm
Australian Raven,australian_raven,10290910,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2_s3reuse/australian_raven/samples/032_audioevent_10290910,packaged,s3_downloaded_clip,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2/australian_raven/samples/035_audioevent_10290910/downloaded_source.webm
Australian Raven,australian_raven,6215447,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2_s3reuse/australian_raven/samples/033_audioevent_6215447,packaged,s3_downloaded_clip,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2/australian_raven/samples/041_audioevent_6215447/downloaded_source.webm
Australian Raven,australian_raven,11829750,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2_s3reuse/australian_raven/samples/034_audioevent_11829750,packaged,s3_downloaded_clip,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2/australian_raven/samples/043_audioevent_11829750/downloaded_source.webm
Australian Raven,australian_raven,13360049,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2_s3reuse/australian_raven/samples/035_audioevent_13360049,packaged,s3_downloaded_clip,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2/australian_raven/samples/044_audioevent_13360049/downloaded_source.webm
Australian Raven,australian_raven,1074095,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2_s3reuse/australian_raven/samples/036_audioevent_1074095,packaged,s3_downloaded_clip,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2/australian_raven/samples/046_audioevent_1074095/downloaded_source.webm
Australian Raven,australian_raven,7247655,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2_s3reuse/australian_raven/samples/037_audioevent_7247655,packaged,s3_downloaded_clip,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2/australian_raven/samples/047_audioevent_7247655/downloaded_source.webm
Australian Raven,australian_raven,16845350,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2_s3reuse/australian_raven/samples/038_audioevent_16845350,packaged,s3_downloaded_clip,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2/australian_raven/samples/048_audioevent_16845350/downloaded_source.webm
Australian Raven,australian_raven,19080927,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2_s3reuse/australian_raven/samples/039_audioevent_19080927,packaged,s3_downloaded_clip,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2/australian_raven/samples/050_audioevent_19080927/downloaded_source.webm
Australian Raven,australian_raven,5745817,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2_s3reuse/australian_raven/samples/040_audioevent_5745817,packaged,s3_downloaded_clip,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2/australian_raven/samples/051_audioevent_5745817/downloaded_source.webm
Australian Raven,australian_raven,22638174,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2_s3reuse/australian_raven/samples/041_audioevent_22638174,packaged,s3_downloaded_clip,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2/australian_raven/samples/052_audioevent_22638174/downloaded_source.webm
Australian Raven,australian_raven,7247642,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2_s3reuse/australian_raven/samples/042_audioevent_7247642,packaged,s3_downloaded_clip,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2/australian_raven/samples/053_audioevent_7247642/downloaded_source.webm
Australian Raven,australian_raven,22596368,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2_s3reuse/australian_raven/samples/043_audioevent_22596368,packaged,s3_downloaded_clip,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2/australian_raven/samples/054_audioevent_22596368/downloaded_source.webm
Australian Raven,australian_raven,7380135,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2_s3reuse/australian_raven/samples/044_audioevent_7380135,packaged,s3_downloaded_clip,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2/australian_raven/samples/056_audioevent_7380135/downloaded_source.webm
Australian Raven,australian_raven,12259596,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2_s3reuse/australian_raven/samples/045_audioevent_12259596,packaged,s3_downloaded_clip,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2/australian_raven/samples/057_audioevent_12259596/downloaded_source.webm
Australian Raven,australian_raven,11494319,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2_s3reuse/australian_raven/samples/046_audioevent_11494319,packaged,s3_downloaded_clip,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2/australian_raven/samples/058_audioevent_11494319/downloaded_source.webm
Australian Raven,australian_raven,15999955,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2_s3reuse/australian_raven/samples/047_audioevent_15999955,packaged,s3_downloaded_clip,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2/australian_raven/samples/059_audioevent_15999955/downloaded_source.webm
Australian Raven,australian_raven,14811399,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2_s3reuse/australian_raven/samples/048_audioevent_14811399,packaged,s3_downloaded_clip,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2/australian_raven/samples/061_audioevent_14811399/downloaded_source.webm
Australian Raven,australian_raven,2162065,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2_s3reuse/australian_raven/samples/049_audioevent_2162065,packaged,s3_downloaded_clip,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2/australian_raven/samples/062_audioevent_2162065/downloaded_source.webm
Australian Raven,australian_raven,10890008,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2_s3reuse/australian_raven/samples/050_audioevent_10890008,packaged,s3_downloaded_clip,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2/australian_raven/samples/063_audioevent_10890008/downloaded_source.webm
Australian Raven,australian_raven,11829751,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2_s3reuse/australian_raven/samples/051_audioevent_11829751,packaged,s3_downloaded_clip,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2/australian_raven/samples/064_audioevent_11829751/downloaded_source.webm
Australian Raven,australian_raven,2247197,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2_s3reuse/australian_raven/samples/052_audioevent_2247197,packaged,s3_downloaded_clip,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2/australian_raven/samples/065_audioevent_2247197/downloaded_source.webm
Australian Raven,australian_raven,16845352,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2_s3reuse/australian_raven/samples/053_audioevent_16845352,packaged,s3_downloaded_clip,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2/australian_raven/samples/066_audioevent_16845352/downloaded_source.webm
Australian Raven,australian_raven,16845347,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2_s3reuse/australian_raven/samples/054_audioevent_16845347,packaged,s3_downloaded_clip,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2/australian_raven/samples/067_audioevent_16845347/downloaded_source.webm
Australian Raven,australian_raven,5902107,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2_s3reuse/australian_raven/samples/055_audioevent_5902107,packaged,s3_downloaded_clip,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2/australian_raven/samples/069_audioevent_5902107/downloaded_source.webm
Australian Raven,australian_raven,12846060,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2_s3reuse/australian_raven/samples/056_audioevent_12846060,packaged,s3_downloaded_clip,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2/australian_raven/samples/070_audioevent_12846060/downloaded_source.webm
Australian Raven,australian_raven,4542106,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2_s3reuse/australian_raven/samples/057_audioevent_4542106,packaged,s3_downloaded_clip,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2/australian_raven/samples/071_audioevent_4542106/downloaded_source.webm
Australian Raven,australian_raven,14096961,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2_s3reuse/australian_raven/samples/058_audioevent_14096961,packaged,s3_downloaded_clip,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2/australian_raven/samples/076_audioevent_14096961/downloaded_source.webm
Australian Raven,australian_raven,2247236,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2_s3reuse/australian_raven/samples/059_audioevent_2247236,packaged,s3_downloaded_clip,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2/australian_raven/samples/077_audioevent_2247236/downloaded_source.webm
Australian Raven,australian_raven,19854869,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2_s3reuse/australian_raven/samples/060_audioevent_19854869,packaged,s3_downloaded_clip,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2/australian_raven/samples/078_audioevent_19854869/downloaded_source.webm
Australian Raven,australian_raven,3797010,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2_s3reuse/australian_raven/samples/061_audioevent_3797010,packaged,s3_downloaded_clip,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2/australian_raven/samples/079_audioevent_3797010/downloaded_source.webm
Australian Raven,australian_raven,10889969,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2_s3reuse/australian_raven/samples/062_audioevent_10889969,packaged,s3_downloaded_clip,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2/australian_raven/samples/081_audioevent_10889969/downloaded_source.webm
Australian Raven,australian_raven,4902772,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2_s3reuse/australian_raven/samples/063_audioevent_4902772,packaged,s3_downloaded_clip,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2/australian_raven/samples/082_audioevent_4902772/downloaded_source.webm
Australian Raven,australian_raven,18314829,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2_s3reuse/australian_raven/samples/064_audioevent_18314829,packaged,s3_downloaded_clip,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2/australian_raven/samples/083_audioevent_18314829/downloaded_source.webm
Australian Raven,australian_raven,19854855,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2_s3reuse/australian_raven/samples/065_audioevent_19854855,packaged,s3_downloaded_clip,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2/australian_raven/samples/084_audioevent_19854855/downloaded_source.webm
Australian Raven,australian_raven,16421876,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2_s3reuse/australian_raven/samples/066_audioevent_16421876,packaged,s3_downloaded_clip,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2/australian_raven/samples/085_audioevent_16421876/downloaded_source.webm
Australian Raven,australian_raven,22596364,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2_s3reuse/australian_raven/samples/067_audioevent_22596364,packaged,s3_downloaded_clip,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2/australian_raven/samples/086_audioevent_22596364/downloaded_source.webm
Australian Raven,australian_raven,10233916,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2_s3reuse/australian_raven/samples/068_audioevent_10233916,packaged,s3_downloaded_clip,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2/australian_raven/samples/087_audioevent_10233916/downloaded_source.webm
