segment_id,source_clip,t_start,t_end,duration_s,diel_bin,season,hour_sin,hour_cos,month_sin,month_cos,cell
1313484_clip006_s001,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313484/site_257_item_1313484_clip_006.webm,89.838,102.609,12.771,dawn,autumn,0.965926,0.258819,0.5,-0.866025,autumn_dawn
1313484_clip006_s002,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313484/site_257_item_1313484_clip_006.webm,193.887,204.359,10.472,dawn,autumn,0.965926,0.258819,0.5,-0.866025,autumn_dawn
1313484_clip007_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313484/site_257_item_1313484_clip_007.webm,73.143,83.894,10.751,dawn,autumn,0.965926,0.258819,0.5,-0.866025,autumn_dawn
1402571_clip018_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1402571/site_257_item_1402571_clip_018.webm,51.525,62.647,11.122,dawn,autumn,0.866025,0.5,1.0,0.0,autumn_dawn
1534205_clip020_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1534205/site_257_item_1534205_clip_020.webm,212.927,224.142,11.215,dawn,autumn,0.866025,0.5,0.866025,-0.5,autumn_dawn
1534205_clip020_s001,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1534205/site_257_item_1534205_clip_020.webm,234.498,245.644,11.146,dawn,autumn,0.866025,0.5,0.866025,-0.5,autumn_dawn
1534205_clip023_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1534205/site_257_item_1534205_clip_023.webm,114.962,125.991,11.029,dawn,autumn,0.866025,0.5,0.866025,-0.5,autumn_dawn
1535269_clip009_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1535269/site_257_item_1535269_clip_009.webm,81.386,93.066,11.68,dawn,autumn,0.866025,0.5,0.5,-0.866025,autumn_dawn
1535269_clip010_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1535269/site_257_item_1535269_clip_010.webm,174.173,186.201,12.028,dawn,autumn,0.866025,0.5,0.5,-0.866025,autumn_dawn
1535269_clip010_s001,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1535269/site_257_item_1535269_clip_010.webm,235.729,252.099,16.37,dawn,autumn,0.866025,0.5,0.5,-0.866025,autumn_dawn
1535269_clip021_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1535269/site_257_item_1535269_clip_021.webm,17.81,27.864,10.054,dawn,autumn,0.866025,0.5,0.5,-0.866025,autumn_dawn
1535269_clip021_s001,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1535269/site_257_item_1535269_clip_021.webm,161.146,172.455,11.308,dawn,autumn,0.866025,0.5,0.5,-0.866025,autumn_dawn
1535269_clip023_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1535269/site_257_item_1535269_clip_023.webm,7.198,21.432,14.234,dawn,autumn,0.866025,0.5,0.5,-0.866025,autumn_dawn
1535548_clip005_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1535548/site_257_item_1535548_clip_005.webm,116.309,128.081,11.773,dawn,autumn,0.965926,0.258819,0.866025,-0.5,autumn_dawn
1671221_clip004_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1671221/site_257_item_1671221_clip_004.webm,57.051,68.429,11.378,dawn,autumn,1.0,0.0,0.5,-0.866025,autumn_dawn
1671221_clip004_s001,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1671221/site_257_item_1671221_clip_004.webm,200.458,213.74,13.282,dawn,autumn,1.0,0.0,0.5,-0.866025,autumn_dawn
1680496_clip002_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1680496/site_257_item_1680496_clip_002.webm,121.022,137.996,16.974,dawn,autumn,1.0,0.0,0.5,-0.866025,autumn_dawn
1680496_clip002_s001,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1680496/site_257_item_1680496_clip_002.webm,286.975,297.378,10.403,dawn,autumn,1.0,0.0,0.5,-0.866025,autumn_dawn
216086_clip002_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_216086/site_257_item_216086_clip_002.webm,164.42,175.566,11.146,dawn,autumn,1.0,0.0,1.0,0.0,autumn_dawn
216086_clip003_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_216086/site_257_item_216086_clip_003.webm,80.086,91.765,11.68,dawn,autumn,1.0,0.0,1.0,0.0,autumn_dawn
216086_clip007_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_216086/site_257_item_216086_clip_007.webm,78.692,90.976,12.283,dawn,autumn,1.0,0.0,1.0,0.0,autumn_dawn
216086_clip011_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_216086/site_257_item_216086_clip_011.webm,145.984,157.663,11.68,dawn,autumn,1.0,0.0,1.0,0.0,autumn_dawn
216086_clip011_s001,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_216086/site_257_item_216086_clip_011.webm,202.292,214.715,12.423,dawn,autumn,1.0,0.0,1.0,0.0,autumn_dawn
216086_clip013_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_216086/site_257_item_216086_clip_013.webm,150.047,160.543,10.495,dawn,autumn,1.0,0.0,1.0,0.0,autumn_dawn
216086_clip015_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_216086/site_257_item_216086_clip_015.webm,213.507,224.096,10.588,dawn,autumn,1.0,0.0,1.0,0.0,autumn_dawn
216086_clip016_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_216086/site_257_item_216086_clip_016.webm,58.189,73.561,15.372,dawn,autumn,1.0,0.0,1.0,0.0,autumn_dawn
216086_clip018_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_216086/site_257_item_216086_clip_018.webm,280.845,291.016,10.17,dawn,autumn,1.0,0.0,1.0,0.0,autumn_dawn
216086_clip024_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_216086/site_257_item_216086_clip_024.webm,152.95,163.701,10.751,dawn,autumn,1.0,0.0,1.0,0.0,autumn_dawn
216466_clip011_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_216466/site_257_item_216466_clip_011.webm,223.19,234.243,11.053,dawn,autumn,1.0,0.0,0.866025,-0.5,autumn_dawn
216466_clip014_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_216466/site_257_item_216466_clip_014.webm,270.118,282.285,12.167,dawn,autumn,1.0,0.0,0.866025,-0.5,autumn_dawn
216466_clip018_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_216466/site_257_item_216466_clip_018.webm,17.995,28.375,10.379,dawn,autumn,1.0,0.0,0.866025,-0.5,autumn_dawn
216466_clip020_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_216466/site_257_item_216466_clip_020.webm,176.541,187.176,10.635,dawn,autumn,1.0,0.0,0.866025,-0.5,autumn_dawn
216466_clip022_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_216466/site_257_item_216466_clip_022.webm,154.343,164.467,10.124,dawn,autumn,1.0,0.0,0.866025,-0.5,autumn_dawn
216595_clip010_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_216595/site_257_item_216595_clip_010.webm,37.013,47.856,10.844,dawn,autumn,1.0,0.0,0.866025,-0.5,autumn_dawn
216140_clip022_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_216140/site_257_item_216140_clip_022.webm,261.503,272.3,10.797,dawn,autumn,1.0,0.0,1.0,0.0,autumn_dawn
216463_clip015_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_216463/site_257_item_216463_clip_015.webm,35.225,48.065,12.841,dawn,autumn,0.866025,0.5,0.866025,-0.5,autumn_dawn
216463_clip016_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_216463/site_257_item_216463_clip_016.webm,21.339,33.622,12.283,dawn,autumn,0.866025,0.5,0.866025,-0.5,autumn_dawn
216597_clip007_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_216597/site_257_item_216597_clip_007.webm,80.527,91.417,10.89,dawn,autumn,0.866025,0.5,0.866025,-0.5,autumn_dawn
216597_clip013_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_216597/site_257_item_216597_clip_013.webm,198.832,210.884,12.051,dawn,autumn,0.866025,0.5,0.866025,-0.5,autumn_dawn
216597_clip016_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_216597/site_257_item_216597_clip_016.webm,262.293,274.367,12.074,dawn,autumn,0.866025,0.5,0.866025,-0.5,autumn_dawn
216597_clip018_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_216597/site_257_item_216597_clip_018.webm,20.619,30.766,10.147,dawn,autumn,0.866025,0.5,0.866025,-0.5,autumn_dawn
216597_clip018_s001,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_216597/site_257_item_216597_clip_018.webm,130.612,143.174,12.562,dawn,autumn,0.866025,0.5,0.866025,-0.5,autumn_dawn
216597_clip019_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_216597/site_257_item_216597_clip_019.webm,230.017,240.048,10.031,dawn,autumn,0.866025,0.5,0.866025,-0.5,autumn_dawn
216597_clip020_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_216597/site_257_item_216597_clip_020.webm,104.676,114.707,10.031,dawn,autumn,0.866025,0.5,0.866025,-0.5,autumn_dawn
216597_clip021_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_216597/site_257_item_216597_clip_021.webm,236.774,246.851,10.077,dawn,autumn,0.866025,0.5,0.866025,-0.5,autumn_dawn
216597_clip023_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_216597/site_257_item_216597_clip_023.webm,162.447,173.314,10.867,dawn,autumn,0.866025,0.5,0.866025,-0.5,autumn_dawn
216623_clip024_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_216623/site_257_item_216623_clip_024.webm,114.544,125.365,10.82,dawn,autumn,1.0,0.0,0.866025,-0.5,autumn_dawn
1312949_clip005_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1312949/site_257_item_1312949_clip_005.webm,190.613,201.015,10.403,dawn,autumn,0.866025,0.5,0.866025,-0.5,autumn_dawn
1312949_clip006_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1312949/site_257_item_1312949_clip_006.webm,85.496,95.504,10.008,dawn,autumn,0.866025,0.5,0.866025,-0.5,autumn_dawn
1312949_clip009_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1312949/site_257_item_1312949_clip_009.webm,160.427,171.944,11.517,dawn,autumn,0.866025,0.5,0.866025,-0.5,autumn_dawn
1312949_clip010_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1312949/site_257_item_1312949_clip_010.webm,35.41,47.903,12.492,dawn,autumn,0.866025,0.5,0.866025,-0.5,autumn_dawn
1312949_clip010_s001,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1312949/site_257_item_1312949_clip_010.webm,283.074,294.986,11.912,dawn,autumn,0.866025,0.5,0.866025,-0.5,autumn_dawn
1312949_clip015_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1312949/site_257_item_1312949_clip_015.webm,240.582,255.211,14.629,dawn,autumn,0.866025,0.5,0.866025,-0.5,autumn_dawn
1312949_clip020_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1312949/site_257_item_1312949_clip_020.webm,137.671,149.722,12.051,dawn,autumn,0.866025,0.5,0.866025,-0.5,autumn_dawn
1312949_clip021_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1312949/site_257_item_1312949_clip_021.webm,130.682,141.108,10.426,dawn,autumn,0.866025,0.5,0.866025,-0.5,autumn_dawn
1312949_clip024_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1312949/site_257_item_1312949_clip_024.webm,10.937,25.426,14.489,dawn,autumn,0.866025,0.5,0.866025,-0.5,autumn_dawn
1313093_clip003_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313093/site_257_item_1313093_clip_003.webm,146.588,156.804,10.217,dawn,autumn,1.0,0.0,0.866025,-0.5,autumn_dawn
1313093_clip023_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313093/site_257_item_1313093_clip_023.webm,247.153,258.67,11.517,dawn,autumn,1.0,0.0,0.866025,-0.5,autumn_dawn
1313153_clip003_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313153/site_257_item_1313153_clip_003.webm,46.022,57.469,11.447,dawn,autumn,1.0,0.0,0.866025,-0.5,autumn_dawn
1313153_clip003_s001,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313153/site_257_item_1313153_clip_003.webm,57.678,68.824,11.146,dawn,autumn,1.0,0.0,0.866025,-0.5,autumn_dawn
1313153_clip003_s002,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313153/site_257_item_1313153_clip_003.webm,165.976,177.981,12.005,dawn,autumn,1.0,0.0,0.866025,-0.5,autumn_dawn
1313153_clip013_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313153/site_257_item_1313153_clip_013.webm,206.75,219.823,13.073,dawn,autumn,1.0,0.0,0.866025,-0.5,autumn_dawn
1313153_clip019_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313153/site_257_item_1313153_clip_019.webm,13.653,24.451,10.797,dawn,autumn,1.0,0.0,0.866025,-0.5,autumn_dawn
1313417_clip007_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313417/site_257_item_1313417_clip_007.webm,54.474,65.155,10.681,dawn,autumn,1.0,0.0,0.866025,-0.5,autumn_dawn
1313417_clip012_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313417/site_257_item_1313417_clip_012.webm,142.849,154.668,11.819,dawn,autumn,1.0,0.0,0.866025,-0.5,autumn_dawn
1313417_clip020_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313417/site_257_item_1313417_clip_020.webm,126.943,137.95,11.006,dawn,autumn,1.0,0.0,0.866025,-0.5,autumn_dawn
1401994_clip017_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1401994/site_257_item_1401994_clip_017.webm,63.948,76.44,12.492,dawn,autumn,1.0,0.0,1.0,0.0,autumn_dawn
1401994_clip020_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1401994/site_257_item_1401994_clip_020.webm,157.129,167.88,10.751,dawn,autumn,1.0,0.0,1.0,0.0,autumn_dawn
1403161_clip012_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1403161/site_257_item_1403161_clip_012.webm,100.635,111.572,10.937,dawn,autumn,1.0,0.0,1.0,0.0,autumn_dawn
1403161_clip022_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1403161/site_257_item_1403161_clip_022.webm,177.726,189.846,12.121,dawn,autumn,1.0,0.0,1.0,0.0,autumn_dawn
1403191_clip003_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1403191/site_257_item_1403191_clip_003.webm,217.641,229.669,12.028,dawn,autumn,1.0,0.0,1.0,0.0,autumn_dawn
1403191_clip004_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1403191/site_257_item_1403191_clip_004.webm,105.047,116.146,11.099,dawn,autumn,1.0,0.0,1.0,0.0,autumn_dawn
1403191_clip005_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1403191/site_257_item_1403191_clip_005.webm,165.907,182.718,16.811,dawn,autumn,1.0,0.0,1.0,0.0,autumn_dawn
1403191_clip019_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1403191/site_257_item_1403191_clip_019.webm,166.789,179.722,12.934,dawn,autumn,1.0,0.0,1.0,0.0,autumn_dawn
1403191_clip019_s001,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1403191/site_257_item_1403191_clip_019.webm,192.726,203.151,10.426,dawn,autumn,1.0,0.0,1.0,0.0,autumn_dawn
1535883_clip005_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1535883/site_257_item_1535883_clip_005.webm,199.692,210.303,10.612,dawn,autumn,1.0,0.0,1.0,0.0,autumn_dawn
1535883_clip018_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1535883/site_257_item_1535883_clip_018.webm,58.305,69.683,11.378,dawn,autumn,1.0,0.0,1.0,0.0,autumn_dawn
1535883_clip021_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1535883/site_257_item_1535883_clip_021.webm,173.198,185.644,12.446,dawn,autumn,1.0,0.0,1.0,0.0,autumn_dawn
1534215_clip013_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1534215/site_257_item_1534215_clip_013.webm,39.219,50.573,11.355,dawn,autumn,0.866025,0.5,0.5,-0.866025,autumn_dawn
1535461_clip002_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1535461/site_257_item_1535461_clip_002.webm,113.871,126.317,12.446,dawn,autumn,1.0,0.0,0.866025,-0.5,autumn_dawn
1535461_clip019_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1535461/site_257_item_1535461_clip_019.webm,25.101,35.759,10.658,dawn,autumn,1.0,0.0,0.866025,-0.5,autumn_dawn
1535533_clip001_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1535533/site_257_item_1535533_clip_001.webm,82.547,93.809,11.262,dawn,autumn,0.866025,0.5,0.866025,-0.5,autumn_dawn
1535533_clip001_s001,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1535533/site_257_item_1535533_clip_001.webm,131.518,141.619,10.101,dawn,autumn,0.866025,0.5,0.866025,-0.5,autumn_dawn
1535533_clip002_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1535533/site_257_item_1535533_clip_002.webm,118.886,135.07,16.184,dawn,autumn,0.866025,0.5,0.866025,-0.5,autumn_dawn
1535533_clip002_s001,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1535533/site_257_item_1535533_clip_002.webm,200.319,211.673,11.355,dawn,autumn,0.866025,0.5,0.866025,-0.5,autumn_dawn
1535533_clip004_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1535533/site_257_item_1535533_clip_004.webm,84.172,96.525,12.353,dawn,autumn,0.866025,0.5,0.866025,-0.5,autumn_dawn
1535533_clip005_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1535533/site_257_item_1535533_clip_005.webm,75.279,87.47,12.19,dawn,autumn,0.866025,0.5,0.866025,-0.5,autumn_dawn
1535533_clip005_s001,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1535533/site_257_item_1535533_clip_005.webm,196.255,211.209,14.954,dawn,autumn,0.866025,0.5,0.866025,-0.5,autumn_dawn
1535533_clip006_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1535533/site_257_item_1535533_clip_006.webm,155.272,165.465,10.194,dawn,autumn,0.866025,0.5,0.866025,-0.5,autumn_dawn
1535533_clip006_s001,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1535533/site_257_item_1535533_clip_006.webm,205.613,224.56,18.947,dawn,autumn,0.866025,0.5,0.866025,-0.5,autumn_dawn
1535533_clip008_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1535533/site_257_item_1535533_clip_008.webm,0.929,17.903,16.974,dawn,autumn,0.866025,0.5,0.866025,-0.5,autumn_dawn
1535533_clip008_s001,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1535533/site_257_item_1535533_clip_008.webm,38.917,49.11,10.194,dawn,autumn,0.866025,0.5,0.866025,-0.5,autumn_dawn
1535533_clip008_s002,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1535533/site_257_item_1535533_clip_008.webm,85.264,96.549,11.285,dawn,autumn,0.866025,0.5,0.866025,-0.5,autumn_dawn
1535533_clip008_s003,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1535533/site_257_item_1535533_clip_008.webm,172.083,184.738,12.655,dawn,autumn,0.866025,0.5,0.866025,-0.5,autumn_dawn
1535533_clip009_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1535533/site_257_item_1535533_clip_009.webm,18.924,30.697,11.773,dawn,autumn,0.866025,0.5,0.866025,-0.5,autumn_dawn
1535533_clip009_s001,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1535533/site_257_item_1535533_clip_009.webm,122.462,133.074,10.612,dawn,autumn,0.866025,0.5,0.866025,-0.5,autumn_dawn
1535533_clip009_s002,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1535533/site_257_item_1535533_clip_009.webm,284.886,298.098,13.212,dawn,autumn,0.866025,0.5,0.866025,-0.5,autumn_dawn
1535533_clip010_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1535533/site_257_item_1535533_clip_010.webm,185.249,199.808,14.559,dawn,autumn,0.866025,0.5,0.866025,-0.5,autumn_dawn
1535533_clip012_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1535533/site_257_item_1535533_clip_012.webm,121.742,133.375,11.633,dawn,autumn,0.866025,0.5,0.866025,-0.5,autumn_dawn
1535533_clip012_s001,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1535533/site_257_item_1535533_clip_012.webm,224.189,237.633,13.444,dawn,autumn,0.866025,0.5,0.866025,-0.5,autumn_dawn
1535533_clip012_s002,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1535533/site_257_item_1535533_clip_012.webm,238.306,248.337,10.031,dawn,autumn,0.866025,0.5,0.866025,-0.5,autumn_dawn
1535533_clip012_s003,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1535533/site_257_item_1535533_clip_012.webm,264.011,274.739,10.728,dawn,autumn,0.866025,0.5,0.866025,-0.5,autumn_dawn
1535533_clip013_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1535533/site_257_item_1535533_clip_013.webm,210.396,226.789,16.393,dawn,autumn,0.866025,0.5,0.866025,-0.5,autumn_dawn
1535533_clip013_s001,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1535533/site_257_item_1535533_clip_013.webm,272.579,285.327,12.748,dawn,autumn,0.866025,0.5,0.866025,-0.5,autumn_dawn
1535533_clip017_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1535533/site_257_item_1535533_clip_017.webm,87.005,100.867,13.862,dawn,autumn,0.866025,0.5,0.866025,-0.5,autumn_dawn
1535533_clip017_s001,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1535533/site_257_item_1535533_clip_017.webm,104.025,122.81,18.785,dawn,autumn,0.866025,0.5,0.866025,-0.5,autumn_dawn
1535533_clip019_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1535533/site_257_item_1535533_clip_019.webm,22.43,35.55,13.119,dawn,autumn,0.866025,0.5,0.866025,-0.5,autumn_dawn
1535533_clip019_s001,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1535533/site_257_item_1535533_clip_019.webm,119.188,130.473,11.285,dawn,autumn,0.866025,0.5,0.866025,-0.5,autumn_dawn
1535533_clip019_s002,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1535533/site_257_item_1535533_clip_019.webm,214.599,227.695,13.096,dawn,autumn,0.866025,0.5,0.866025,-0.5,autumn_dawn
1535533_clip019_s003,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1535533/site_257_item_1535533_clip_019.webm,288.763,299.839,11.076,dawn,autumn,0.866025,0.5,0.866025,-0.5,autumn_dawn
1535533_clip021_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1535533/site_257_item_1535533_clip_021.webm,157.71,170.202,12.492,dawn,autumn,0.866025,0.5,0.866025,-0.5,autumn_dawn
1536460_clip001_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1536460/site_257_item_1536460_clip_001.webm,42.005,52.315,10.31,dawn,autumn,1.0,0.0,0.5,-0.866025,autumn_dawn
1536460_clip002_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1536460/site_257_item_1536460_clip_002.webm,72.934,87.632,14.698,dawn,autumn,1.0,0.0,0.5,-0.866025,autumn_dawn
