audio_path,caption,status,asset_id,source_recording_id,overall_label,rain_confidence,rain_intensity,wind_intensity,pool_selection_rule
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/041__rec_1313196__clip_003__win_01__rain.wav,"steady rain over dry eucalyptus woodland, Bowra, Australia",ok,rain_smoke_v0_041,1313196,rain,0.612365,heavy,none,all_non_1401640_human_audited_rain
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/042__rec_1313196__clip_003__win_02__rain.wav,"steady rain over dry eucalyptus woodland, Bowra, Australia",ok,rain_smoke_v0_042,1313196,rain,0.614128,heavy,none,all_non_1401640_human_audited_rain
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/043__rec_1313196__clip_004__win_00__rain.wav,"steady rain over dry eucalyptus woodland, Bowra, Australia",ok,rain_smoke_v0_043,1313196,rain,0.620362,heavy,none,all_non_1401640_human_audited_rain
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/044__rec_1313196__clip_004__win_01__rain.wav,"steady rain over dry eucalyptus woodland, Bowra, Australia",ok,rain_smoke_v0_044,1313196,rain,0.619952,heavy,none,all_non_1401640_human_audited_rain
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/045__rec_1313196__clip_004__win_02__rain.wav,"steady rain over dry eucalyptus woodland, Bowra, Australia",ok,rain_smoke_v0_045,1313196,rain,0.616289,heavy,none,all_non_1401640_human_audited_rain
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/046__rec_1313196__clip_005__win_00__rain.wav,"steady rain over dry eucalyptus woodland, Bowra, Australia",ok,rain_smoke_v0_046,1313196,rain,0.619958,heavy,none,all_non_1401640_human_audited_rain
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/047__rec_1313196__clip_005__win_01__rain.wav,"steady rain over dry eucalyptus woodland, Bowra, Australia",ok,rain_smoke_v0_047,1313196,rain,0.620389,heavy,none,all_non_1401640_human_audited_rain
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/048__rec_1313196__clip_005__win_02__rain.wav,"steady rain over dry eucalyptus woodland, Bowra, Australia",ok,rain_smoke_v0_048,1313196,rain,0.616851,heavy,none,all_non_1401640_human_audited_rain
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/049__rec_1313196__clip_006__win_00__rain.wav,"steady rain over dry eucalyptus woodland, Bowra, Australia",ok,rain_smoke_v0_049,1313196,rain,0.618299,heavy,none,all_non_1401640_human_audited_rain
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/050__rec_1313196__clip_006__win_01__rain.wav,"steady rain over dry eucalyptus woodland, Bowra, Australia",ok,rain_smoke_v0_050,1313196,rain,0.612644,heavy,none,all_non_1401640_human_audited_rain
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/051__rec_1313196__clip_006__win_02__rain.wav,"steady rain over dry eucalyptus woodland, Bowra, Australia",ok,rain_smoke_v0_051,1313196,rain,0.620181,heavy,none,all_non_1401640_human_audited_rain
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/058__rec_1401640__clip_001__win_02__rain.wav,"steady rain over dry eucalyptus woodland, Bowra, Australia",ok,rain_smoke_v0_058,1401640,rain,0.592431,heavy,none,recording_1401640_max_rain_confidence_per_clip
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/059__rec_1401640__clip_002__win_02__rain.wav,"steady rain over dry eucalyptus woodland, Bowra, Australia",ok,rain_smoke_v0_059,1401640,rain,0.608513,heavy,none,recording_1401640_max_rain_confidence_per_clip
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/060__rec_1401640__clip_003__win_00__rain.wav,"steady rain over dry eucalyptus woodland, Bowra, Australia",ok,rain_smoke_v0_060,1401640,rain,0.603805,heavy,none,recording_1401640_max_rain_confidence_per_clip
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/061__rec_1401640__clip_004__win_00__rain.wav,"steady rain over dry eucalyptus woodland, Bowra, Australia",ok,rain_smoke_v0_061,1401640,rain,0.622819,heavy,none,recording_1401640_max_rain_confidence_per_clip
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/062__rec_1401640__clip_005__win_01__rain.wav,"steady rain over dry eucalyptus woodland, Bowra, Australia",ok,rain_smoke_v0_062,1401640,rain,0.596698,heavy,none,recording_1401640_max_rain_confidence_per_clip
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/063__rec_1401640__clip_007__win_02__rain.wav,"steady rain over dry eucalyptus woodland, Bowra, Australia",ok,rain_smoke_v0_063,1401640,rain,0.622345,heavy,none,recording_1401640_max_rain_confidence_per_clip
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/064__rec_1401640__clip_008__win_01__rain.wav,"steady rain over dry eucalyptus woodland, Bowra, Australia",ok,rain_smoke_v0_064,1401640,rain,0.617753,heavy,none,recording_1401640_max_rain_confidence_per_clip
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/065__rec_1401640__clip_009__win_02__rain.wav,"steady rain over dry eucalyptus woodland, Bowra, Australia",ok,rain_smoke_v0_065,1401640,rain,0.61807,heavy,none,recording_1401640_max_rain_confidence_per_clip
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/066__rec_1401640__clip_010__win_01__rain.wav,"steady rain over dry eucalyptus woodland, Bowra, Australia",ok,rain_smoke_v0_066,1401640,rain,0.614053,heavy,none,recording_1401640_max_rain_confidence_per_clip
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/067__rec_1401640__clip_011__win_00__rain.wav,"steady rain over dry eucalyptus woodland, Bowra, Australia",ok,rain_smoke_v0_067,1401640,rain,0.6213,heavy,none,recording_1401640_max_rain_confidence_per_clip
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/068__rec_1401640__clip_012__win_00__rain.wav,"steady rain over dry eucalyptus woodland, Bowra, Australia",ok,rain_smoke_v0_068,1401640,rain,0.610382,heavy,none,recording_1401640_max_rain_confidence_per_clip
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/069__rec_1401640__clip_013__win_01__rain.wav,"steady rain over dry eucalyptus woodland, Bowra, Australia",ok,rain_smoke_v0_069,1401640,rain,0.613249,heavy,none,recording_1401640_max_rain_confidence_per_clip
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/070__rec_1401640__clip_014__win_01__rain.wav,"steady rain over dry eucalyptus woodland, Bowra, Australia",ok,rain_smoke_v0_070,1401640,rain,0.599603,heavy,none,recording_1401640_max_rain_confidence_per_clip
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/071__rec_1401640__clip_015__win_02__rain.wav,"steady rain over dry eucalyptus woodland, Bowra, Australia",ok,rain_smoke_v0_071,1401640,rain,0.60219,heavy,none,recording_1401640_max_rain_confidence_per_clip
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/072__rec_1401640__clip_016__win_02__rain.wav,"steady rain over dry eucalyptus woodland, Bowra, Australia",ok,rain_smoke_v0_072,1401640,rain,0.587397,light,none,recording_1401640_max_rain_confidence_per_clip
