segment_id,source_clip,t_start,t_end,duration_s,diel_bin,season,hour_sin,hour_cos,month_sin,month_cos
1313284_clip011_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313284/site_257_item_1313284_clip_011.webm,96.409,107.671,11.262,afternoon,autumn,0.0,-1.0,0.5,-0.866025
1313284_clip014_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313284/site_257_item_1313284_clip_014.webm,5.991,29.118,23.127,afternoon,autumn,0.0,-1.0,0.5,-0.866025
1313284_clip014_s001,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313284/site_257_item_1313284_clip_014.webm,43.491,60.79,17.299,afternoon,autumn,0.0,-1.0,0.5,-0.866025
1313285_clip004_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313285/site_257_item_1313285_clip_004.webm,35.248,48.205,12.957,dawn,autumn,1.0,0.0,0.5,-0.866025
1313285_clip004_s001,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313285/site_257_item_1313285_clip_004.webm,61.37,76.51,15.139,dawn,autumn,1.0,0.0,0.5,-0.866025
1313285_clip004_s002,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313285/site_257_item_1313285_clip_004.webm,101.68,113.081,11.401,dawn,autumn,1.0,0.0,0.5,-0.866025
1313285_clip006_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313285/site_257_item_1313285_clip_006.webm,141.34,154.134,12.794,dawn,autumn,1.0,0.0,0.5,-0.866025
1313286_clip001_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313286/site_257_item_1313286_clip_001.webm,227.927,238.19,10.263,night,autumn,-0.5,0.866025,0.5,-0.866025
1313286_clip002_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313286/site_257_item_1313286_clip_002.webm,129.01,139.157,10.147,night,autumn,-0.5,0.866025,0.5,-0.866025
1313286_clip002_s001,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313286/site_257_item_1313286_clip_002.webm,203.802,215.11,11.308,night,autumn,-0.5,0.866025,0.5,-0.866025
1313286_clip003_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313286/site_257_item_1313286_clip_003.webm,44.815,55.635,10.82,night,autumn,-0.5,0.866025,0.5,-0.866025
1313286_clip003_s001,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313286/site_257_item_1313286_clip_003.webm,55.844,66.688,10.844,night,autumn,-0.5,0.866025,0.5,-0.866025
1313286_clip003_s002,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313286/site_257_item_1313286_clip_003.webm,168.879,183.322,14.443,night,autumn,-0.5,0.866025,0.5,-0.866025
1313286_clip003_s003,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313286/site_257_item_1313286_clip_003.webm,269.677,282.633,12.957,night,autumn,-0.5,0.866025,0.5,-0.866025
1313286_clip004_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313286/site_257_item_1313286_clip_004.webm,28.189,38.708,10.519,night,autumn,-0.5,0.866025,0.5,-0.866025
1313286_clip004_s001,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313286/site_257_item_1313286_clip_004.webm,73.584,90.117,16.533,night,autumn,-0.5,0.866025,0.5,-0.866025
1313286_clip005_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313286/site_257_item_1313286_clip_005.webm,18.088,28.561,10.472,night,autumn,-0.5,0.866025,0.5,-0.866025
1313286_clip007_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313286/site_257_item_1313286_clip_007.webm,90.279,101.889,11.61,night,autumn,-0.5,0.866025,0.5,-0.866025
1313286_clip008_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313286/site_257_item_1313286_clip_008.webm,285.605,298.191,12.585,night,autumn,-0.5,0.866025,0.5,-0.866025
1313286_clip009_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313286/site_257_item_1313286_clip_009.webm,156.177,169.691,13.514,night,autumn,-0.5,0.866025,0.5,-0.866025
1313286_clip009_s001,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313286/site_257_item_1313286_clip_009.webm,216.781,230.69,13.909,night,autumn,-0.5,0.866025,0.5,-0.866025
1313286_clip009_s002,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313286/site_257_item_1313286_clip_009.webm,235.659,246.364,10.704,night,autumn,-0.5,0.866025,0.5,-0.866025
1313286_clip009_s003,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313286/site_257_item_1313286_clip_009.webm,258.972,271.836,12.864,night,autumn,-0.5,0.866025,0.5,-0.866025
1313286_clip011_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313286/site_257_item_1313286_clip_011.webm,157.965,168.229,10.263,night,autumn,-0.5,0.866025,0.5,-0.866025
1313286_clip011_s001,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313286/site_257_item_1313286_clip_011.webm,169.111,179.119,10.008,night,autumn,-0.5,0.866025,0.5,-0.866025
1313286_clip011_s002,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313286/site_257_item_1313286_clip_011.webm,199.088,210.21,11.122,night,autumn,-0.5,0.866025,0.5,-0.866025
1313286_clip011_s003,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313286/site_257_item_1313286_clip_011.webm,268.074,286.325,18.251,night,autumn,-0.5,0.866025,0.5,-0.866025
1313286_clip012_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313286/site_257_item_1313286_clip_012.webm,61.812,71.843,10.031,night,autumn,-0.5,0.866025,0.5,-0.866025
1313286_clip013_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313286/site_257_item_1313286_clip_013.webm,244.924,255.861,10.937,night,autumn,-0.5,0.866025,0.5,-0.866025
1313286_clip014_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313286/site_257_item_1313286_clip_014.webm,222.563,237.424,14.861,night,autumn,-0.5,0.866025,0.5,-0.866025
1313286_clip015_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313286/site_257_item_1313286_clip_015.webm,16.579,28.189,11.61,night,autumn,-0.5,0.866025,0.5,-0.866025
1313286_clip016_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313286/site_257_item_1313286_clip_016.webm,198.136,215.412,17.276,night,autumn,-0.5,0.866025,0.5,-0.866025
1313286_clip016_s001,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313286/site_257_item_1313286_clip_016.webm,269.259,286.906,17.647,night,autumn,-0.5,0.866025,0.5,-0.866025
1313286_clip017_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313286/site_257_item_1313286_clip_017.webm,108.902,121.858,12.957,night,autumn,-0.5,0.866025,0.5,-0.866025
1313286_clip017_s001,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313286/site_257_item_1313286_clip_017.webm,269.003,280.149,11.146,night,autumn,-0.5,0.866025,0.5,-0.866025
1313384_clip001_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313384/site_257_item_1313384_clip_001.webm,24.729,36.014,11.285,dawn,autumn,1.0,0.0,0.866025,-0.5
1313384_clip003_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313384/site_257_item_1313384_clip_003.webm,87.47,97.919,10.449,dawn,autumn,1.0,0.0,0.866025,-0.5
1313384_clip003_s001,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313384/site_257_item_1313384_clip_003.webm,236.077,251.31,15.232,dawn,autumn,1.0,0.0,0.866025,-0.5
1313384_clip005_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313384/site_257_item_1313384_clip_005.webm,99.056,109.436,10.379,dawn,autumn,1.0,0.0,0.866025,-0.5
1313384_clip005_s001,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313384/site_257_item_1313384_clip_005.webm,120.767,131.332,10.565,dawn,autumn,1.0,0.0,0.866025,-0.5
1313384_clip006_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313384/site_257_item_1313384_clip_006.webm,102.098,113.313,11.215,dawn,autumn,1.0,0.0,0.866025,-0.5
1313384_clip006_s001,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313384/site_257_item_1313384_clip_006.webm,136.951,146.982,10.031,dawn,autumn,1.0,0.0,0.866025,-0.5
1313384_clip006_s002,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313384/site_257_item_1313384_clip_006.webm,171.549,185.945,14.396,dawn,autumn,1.0,0.0,0.866025,-0.5
1313390_clip001_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313390/site_257_item_1313390_clip_001.webm,4.69,18.344,13.653,night,autumn,-0.258819,0.965926,0.866025,-0.5
1313390_clip001_s001,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313390/site_257_item_1313390_clip_001.webm,116.959,127.687,10.728,night,autumn,-0.258819,0.965926,0.866025,-0.5
1313390_clip001_s002,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313390/site_257_item_1313390_clip_001.webm,249.266,260.551,11.285,night,autumn,-0.258819,0.965926,0.866025,-0.5
1313390_clip002_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313390/site_257_item_1313390_clip_002.webm,64.76,76.928,12.167,night,autumn,-0.258819,0.965926,0.866025,-0.5
1313390_clip003_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313390/site_257_item_1313390_clip_003.webm,62.694,73.352,10.658,night,autumn,-0.258819,0.965926,0.866025,-0.5
1313390_clip005_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313390/site_257_item_1313390_clip_005.webm,120.976,131.982,11.006,night,autumn,-0.258819,0.965926,0.866025,-0.5
1313390_clip006_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313390/site_257_item_1313390_clip_006.webm,113.685,127.013,13.328,night,autumn,-0.258819,0.965926,0.866025,-0.5
1313390_clip006_s001,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313390/site_257_item_1313390_clip_006.webm,238.771,249.986,11.215,night,autumn,-0.258819,0.965926,0.866025,-0.5
1313390_clip007_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313390/site_257_item_1313390_clip_007.webm,220.566,236.635,16.068,night,autumn,-0.258819,0.965926,0.866025,-0.5
1313390_clip008_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313390/site_257_item_1313390_clip_008.webm,29.652,40.287,10.635,night,autumn,-0.258819,0.965926,0.866025,-0.5
1313390_clip008_s001,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313390/site_257_item_1313390_clip_008.webm,71.355,84.66,13.305,night,autumn,-0.258819,0.965926,0.866025,-0.5
1313390_clip008_s002,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313390/site_257_item_1313390_clip_008.webm,218.059,229.227,11.169,night,autumn,-0.258819,0.965926,0.866025,-0.5
1313390_clip008_s003,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313390/site_257_item_1313390_clip_008.webm,238.005,250.474,12.469,night,autumn,-0.258819,0.965926,0.866025,-0.5
1313390_clip008_s004,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313390/site_257_item_1313390_clip_008.webm,277.943,288.647,10.704,night,autumn,-0.258819,0.965926,0.866025,-0.5
1313390_clip009_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313390/site_257_item_1313390_clip_009.webm,69.033,79.226,10.194,night,autumn,-0.258819,0.965926,0.866025,-0.5
1313390_clip009_s001,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313390/site_257_item_1313390_clip_009.webm,176.356,187.362,11.006,night,autumn,-0.258819,0.965926,0.866025,-0.5
1313390_clip009_s002,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313390/site_257_item_1313390_clip_009.webm,229.436,240.652,11.215,night,autumn,-0.258819,0.965926,0.866025,-0.5
1313390_clip010_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313390/site_257_item_1313390_clip_010.webm,90.442,100.798,10.356,night,autumn,-0.258819,0.965926,0.866025,-0.5
1313390_clip010_s001,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313390/site_257_item_1313390_clip_010.webm,152.996,167.903,14.907,night,autumn,-0.258819,0.965926,0.866025,-0.5
1313390_clip011_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313390/site_257_item_1313390_clip_011.webm,33.042,44.025,10.983,night,autumn,-0.258819,0.965926,0.866025,-0.5
1313390_clip011_s001,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313390/site_257_item_1313390_clip_011.webm,69.056,80.805,11.749,night,autumn,-0.258819,0.965926,0.866025,-0.5
1313390_clip011_s002,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313390/site_257_item_1313390_clip_011.webm,93.832,105.326,11.494,night,autumn,-0.258819,0.965926,0.866025,-0.5
1313390_clip011_s003,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313390/site_257_item_1313390_clip_011.webm,123.855,141.619,17.763,night,autumn,-0.258819,0.965926,0.866025,-0.5
1313390_clip011_s004,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313390/site_257_item_1313390_clip_011.webm,283.446,293.57,10.124,night,autumn,-0.258819,0.965926,0.866025,-0.5
1313390_clip012_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313390/site_257_item_1313390_clip_012.webm,20.782,31.997,11.215,night,autumn,-0.258819,0.965926,0.866025,-0.5
1313392_clip007_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313392/site_257_item_1313392_clip_007.webm,16.068,26.703,10.635,afternoon,autumn,-0.5,-0.866025,0.866025,-0.5
1313392_clip011_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313392/site_257_item_1313392_clip_011.webm,173.105,184.111,11.006,afternoon,autumn,-0.5,-0.866025,0.866025,-0.5
1313392_clip011_s001,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313392/site_257_item_1313392_clip_011.webm,186.944,197.277,10.333,afternoon,autumn,-0.5,-0.866025,0.866025,-0.5
1313392_clip022_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313392/site_257_item_1313392_clip_022.webm,139.622,155.899,16.277,afternoon,autumn,-0.5,-0.866025,0.866025,-0.5
1313392_clip022_s001,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313392/site_257_item_1313392_clip_022.webm,244.413,254.491,10.077,afternoon,autumn,-0.5,-0.866025,0.866025,-0.5
1313480_clip001_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313480/site_257_item_1313480_clip_001.webm,107.578,125.713,18.135,afternoon,autumn,-0.5,-0.866025,0.5,-0.866025
1313480_clip001_s001,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313480/site_257_item_1313480_clip_001.webm,140.922,174.312,33.39,afternoon,autumn,-0.5,-0.866025,0.5,-0.866025
1313480_clip002_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313480/site_257_item_1313480_clip_002.webm,123.739,135.674,11.935,afternoon,autumn,-0.5,-0.866025,0.5,-0.866025
1313480_clip004_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313480/site_257_item_1313480_clip_004.webm,21.2,35.364,14.164,afternoon,autumn,-0.5,-0.866025,0.5,-0.866025
1313480_clip005_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313480/site_257_item_1313480_clip_005.webm,198.995,223.446,24.451,afternoon,autumn,-0.5,-0.866025,0.5,-0.866025
1313480_clip005_s001,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313480/site_257_item_1313480_clip_005.webm,238.678,249.173,10.495,afternoon,autumn,-0.5,-0.866025,0.5,-0.866025
1313480_clip006_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313480/site_257_item_1313480_clip_006.webm,119.188,131.68,12.492,afternoon,autumn,-0.5,-0.866025,0.5,-0.866025
1313480_clip006_s001,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313480/site_257_item_1313480_clip_006.webm,153.763,165.489,11.726,afternoon,autumn,-0.5,-0.866025,0.5,-0.866025
1313480_clip006_s002,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313480/site_257_item_1313480_clip_006.webm,200.969,217.594,16.625,afternoon,autumn,-0.5,-0.866025,0.5,-0.866025
1313480_clip008_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313480/site_257_item_1313480_clip_008.webm,87.888,99.335,11.447,afternoon,autumn,-0.5,-0.866025,0.5,-0.866025
1313480_clip009_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313480/site_257_item_1313480_clip_009.webm,40.031,59.466,19.435,afternoon,autumn,-0.5,-0.866025,0.5,-0.866025
1313480_clip009_s001,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313480/site_257_item_1313480_clip_009.webm,60.651,75.697,15.047,afternoon,autumn,-0.5,-0.866025,0.5,-0.866025
1313480_clip009_s002,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313480/site_257_item_1313480_clip_009.webm,83.778,94.087,10.31,afternoon,autumn,-0.5,-0.866025,0.5,-0.866025
1313480_clip013_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313480/site_257_item_1313480_clip_013.webm,35.991,48.344,12.353,afternoon,autumn,-0.5,-0.866025,0.5,-0.866025
1313480_clip013_s001,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313480/site_257_item_1313480_clip_013.webm,66.595,82.013,15.418,afternoon,autumn,-0.5,-0.866025,0.5,-0.866025
1313480_clip013_s002,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313480/site_257_item_1313480_clip_013.webm,231.921,247.943,16.022,afternoon,autumn,-0.5,-0.866025,0.5,-0.866025
1313480_clip015_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313480/site_257_item_1313480_clip_015.webm,87.888,97.895,10.008,afternoon,autumn,-0.5,-0.866025,0.5,-0.866025
1313480_clip015_s001,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313480/site_257_item_1313480_clip_015.webm,139.157,153.646,14.489,afternoon,autumn,-0.5,-0.866025,0.5,-0.866025
1313480_clip015_s002,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313480/site_257_item_1313480_clip_015.webm,196.325,215.179,18.855,afternoon,autumn,-0.5,-0.866025,0.5,-0.866025
1313480_clip015_s003,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313480/site_257_item_1313480_clip_015.webm,234.498,245.853,11.355,afternoon,autumn,-0.5,-0.866025,0.5,-0.866025
1313480_clip015_s004,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313480/site_257_item_1313480_clip_015.webm,246.062,261.968,15.906,afternoon,autumn,-0.5,-0.866025,0.5,-0.866025
1313480_clip017_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313480/site_257_item_1313480_clip_017.webm,29.954,40.287,10.333,afternoon,autumn,-0.5,-0.866025,0.5,-0.866025
1313480_clip017_s001,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313480/site_257_item_1313480_clip_017.webm,157.64,174.15,16.509,afternoon,autumn,-0.5,-0.866025,0.5,-0.866025
1313480_clip018_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313480/site_257_item_1313480_clip_018.webm,27.446,57.26,29.814,afternoon,autumn,-0.5,-0.866025,0.5,-0.866025
1313480_clip018_s001,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313480/site_257_item_1313480_clip_018.webm,84.358,95.109,10.751,afternoon,autumn,-0.5,-0.866025,0.5,-0.866025
1313480_clip018_s002,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313480/site_257_item_1313480_clip_018.webm,183.995,195.86,11.865,afternoon,autumn,-0.5,-0.866025,0.5,-0.866025
1313480_clip018_s003,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313480/site_257_item_1313480_clip_018.webm,229.181,250.59,21.409,afternoon,autumn,-0.5,-0.866025,0.5,-0.866025
1313480_clip019_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313480/site_257_item_1313480_clip_019.webm,15.697,30.72,15.023,afternoon,autumn,-0.5,-0.866025,0.5,-0.866025
1313480_clip019_s001,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313480/site_257_item_1313480_clip_019.webm,128.476,138.995,10.519,afternoon,autumn,-0.5,-0.866025,0.5,-0.866025
1313480_clip020_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313480/site_257_item_1313480_clip_020.webm,158.616,180.674,22.059,afternoon,autumn,-0.5,-0.866025,0.5,-0.866025
1313480_clip020_s001,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313480/site_257_item_1313480_clip_020.webm,183.74,201.363,17.624,afternoon,autumn,-0.5,-0.866025,0.5,-0.866025
1313480_clip023_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313480/site_257_item_1313480_clip_023.webm,15.139,26.169,11.029,afternoon,autumn,-0.5,-0.866025,0.5,-0.866025
1313480_clip024_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313480/site_257_item_1313480_clip_024.webm,221.983,233.082,11.099,afternoon,autumn,-0.5,-0.866025,0.5,-0.866025
1313484_clip001_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313484/site_257_item_1313484_clip_001.webm,266.844,279.591,12.748,dawn,autumn,0.965926,0.258819,0.5,-0.866025
1313484_clip003_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313484/site_257_item_1313484_clip_003.webm,75.302,87.841,12.539,dawn,autumn,0.965926,0.258819,0.5,-0.866025
1313484_clip003_s001,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313484/site_257_item_1313484_clip_003.webm,176.797,190.566,13.769,dawn,autumn,0.965926,0.258819,0.5,-0.866025
1313484_clip003_s002,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313484/site_257_item_1313484_clip_003.webm,215.342,235.822,20.48,dawn,autumn,0.965926,0.258819,0.5,-0.866025
1313484_clip004_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313484/site_257_item_1313484_clip_004.webm,34.853,52.779,17.926,dawn,autumn,0.965926,0.258819,0.5,-0.866025
1313484_clip004_s001,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313484/site_257_item_1313484_clip_004.webm,235.775,247.873,12.098,dawn,autumn,0.965926,0.258819,0.5,-0.866025
1313484_clip005_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313484/site_257_item_1313484_clip_005.webm,278.407,289.808,11.401,dawn,autumn,0.965926,0.258819,0.5,-0.866025
1313484_clip006_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313484/site_257_item_1313484_clip_006.webm,30.302,42.493,12.19,dawn,autumn,0.965926,0.258819,0.5,-0.866025
1313484_clip006_s001,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313484/site_257_item_1313484_clip_006.webm,89.838,102.609,12.771,dawn,autumn,0.965926,0.258819,0.5,-0.866025
1313484_clip006_s002,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313484/site_257_item_1313484_clip_006.webm,193.887,204.359,10.472,dawn,autumn,0.965926,0.258819,0.5,-0.866025
1313484_clip007_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313484/site_257_item_1313484_clip_007.webm,73.143,83.894,10.751,dawn,autumn,0.965926,0.258819,0.5,-0.866025
1313667_clip001_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313667/site_257_item_1313667_clip_001.webm,10.426,24.915,14.489,night,autumn,-0.5,0.866025,0.866025,-0.5
1313667_clip002_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313667/site_257_item_1313667_clip_002.webm,123.344,133.909,10.565,night,autumn,-0.5,0.866025,0.866025,-0.5
1313667_clip005_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313667/site_257_item_1313667_clip_005.webm,105.883,116.796,10.913,night,autumn,-0.5,0.866025,0.866025,-0.5
1313667_clip009_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313667/site_257_item_1313667_clip_009.webm,84.753,101.076,16.324,night,autumn,-0.5,0.866025,0.866025,-0.5
1313667_clip009_s001,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313667/site_257_item_1313667_clip_009.webm,241.046,252.424,11.378,night,autumn,-0.5,0.866025,0.866025,-0.5
1313667_clip011_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313667/site_257_item_1313667_clip_011.webm,118.77,130.334,11.564,night,autumn,-0.5,0.866025,0.866025,-0.5
1313667_clip012_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313667/site_257_item_1313667_clip_012.webm,43.654,54.729,11.076,night,autumn,-0.5,0.866025,0.866025,-0.5
1313667_clip013_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313667/site_257_item_1313667_clip_013.webm,41.703,54.892,13.189,night,autumn,-0.5,0.866025,0.866025,-0.5
