pool_index,source_status,event_type,species_common_name,audio_event_id,score,quality_score,selection_score,diel_bin,audio_recording_id,event_start_datetime_aest,duration_s,audio_path,mel_spectrogram_png_path,source_manifest,verdict,notes
11,human_pass_existing,splendid_fairywren,Splendid Fairywren,15431194,0.9863,5.107195,,,,,,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/quality_v2_relaxed/crops/splendid_fairywren/audioevent_15431194_crop_0.50s.wav,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/segments/site_257_item_1402246/site_257_item_1402246_audioevent_15431194/mel_spectrogram.png,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/natural_core_v1/manual_audit_splendid_fairywren_natural_core_top55.csv,Pass,
12,human_pass_existing,splendid_fairywren,Splendid Fairywren,24065199,0.9901,13.348132,,,,,,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/quality_v2_relaxed/crops/splendid_fairywren/audioevent_24065199_crop_0.50s.wav,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/segments/site_257_item_1401800/site_257_item_1401800_audioevent_24065199/mel_spectrogram.png,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/natural_core_v1/manual_audit_splendid_fairywren_natural_core_top55.csv,Pass,
13,human_pass_existing,splendid_fairywren,Splendid Fairywren,13490756,0.9851,25.67588,,,,,,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/quality_v2_relaxed/crops/splendid_fairywren/audioevent_13490756_crop_0.50s.wav,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/segments/site_257_item_445539/site_257_item_445539_audioevent_13490756/mel_spectrogram.png,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/natural_core_v1/manual_audit_splendid_fairywren_natural_core_top55.csv,Pass,
14,human_pass_existing,splendid_fairywren,Splendid Fairywren,2247215,0.9902,17.980453,,,,,,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/quality_v2_relaxed/crops/splendid_fairywren/audioevent_2247215_crop_0.50s.wav,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/segments/site_257_item_1676758/site_257_item_1676758_audioevent_2247215/mel_spectrogram.png,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/natural_core_v1/manual_audit_splendid_fairywren_natural_core_top55.csv,Pass,
15,human_pass_existing,splendid_fairywren,Splendid Fairywren,4549431,0.9752,9.238706,,,,,,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/quality_v2_relaxed/crops/splendid_fairywren/audioevent_4549431_crop_0.50s.wav,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/segments/site_257_item_1535932/site_257_item_1535932_audioevent_4549431/mel_spectrogram.png,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/natural_core_v1/manual_audit_splendid_fairywren_natural_core_top55.csv,Pass,
16,human_pass_existing,splendid_fairywren,Splendid Fairywren,1207427,0.9968,6.310271,,,,,,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/quality_v2_relaxed/crops/splendid_fairywren/audioevent_1207427_crop_0.50s.wav,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/segments/site_257_item_1401651/site_257_item_1401651_audioevent_1207427/mel_spectrogram.png,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/natural_core_v1/manual_audit_splendid_fairywren_natural_core_top55.csv,Pass,
17,human_pass_supplement_v3,splendid_fairywren,Splendid Fairywren,15189123,0.9979,21.13848,0.881005,dawn,1677472,2024-09-27T05:34:47+10:00,3,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/quality_v2_relaxed/crops/splendid_fairywren/audioevent_15189123_crop_0.50s.wav,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/segments/site_257_item_1677472/site_257_item_1677472_audioevent_15189123/mel_spectrogram.png,resources/site_257_bowra-dry-a/layer_c_retrieval_cuckoo_fairywren/fairywren/retrieval_pool_v3_target30/manual_audit_splendid_fairywren_target30_supplement14.csv,Pass,selected to expand Fairywren retrieval pool to 30; pending human audit
18,human_pass_supplement_v3,splendid_fairywren,Splendid Fairywren,374366,0.9865,21.900955,0.880277,dawn,1679728,2025-01-20T05:06:39+10:00,3,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/quality_v2_relaxed/crops/splendid_fairywren/audioevent_374366_crop_0.50s.wav,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/segments/site_257_item_1679728/site_257_item_1679728_audioevent_374366/mel_spectrogram.png,resources/site_257_bowra-dry-a/layer_c_retrieval_cuckoo_fairywren/fairywren/retrieval_pool_v3_target30/manual_audit_splendid_fairywren_target30_supplement14.csv,Pass,selected to expand Fairywren retrieval pool to 30; pending human audit
19,human_pass_supplement_v3,splendid_fairywren,Splendid Fairywren,4326983,0.996,12.988512,0.802569,dawn,1401013,2023-11-27T07:45:18+10:00,3,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/quality_v2_relaxed/crops/splendid_fairywren/audioevent_4326983_crop_0.50s.wav,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/segments/site_257_item_1401013/site_257_item_1401013_audioevent_4326983/mel_spectrogram.png,resources/site_257_bowra-dry-a/layer_c_retrieval_cuckoo_fairywren/fairywren/retrieval_pool_v3_target30/manual_audit_splendid_fairywren_target30_supplement14.csv,Pass,selected to expand Fairywren retrieval pool to 30; pending human audit
20,human_pass_supplement_v3,splendid_fairywren,Splendid Fairywren,24116609,0.9964,2.759839,0.675519,dawn,1682419,2024-09-28T05:34:42+10:00,3,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/quality_v2_relaxed/crops/splendid_fairywren/audioevent_24116609_crop_0.50s.wav,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/segments/site_257_item_1682419/site_257_item_1682419_audioevent_24116609/mel_spectrogram.png,resources/site_257_bowra-dry-a/layer_c_retrieval_cuckoo_fairywren/fairywren/retrieval_pool_v3_target30/manual_audit_splendid_fairywren_target30_supplement14.csv,Pass,selected to expand Fairywren retrieval pool to 30; pending human audit
21,human_pass_supplement_v3,splendid_fairywren,Splendid Fairywren,8023212,0.9969,0.487212,0.669404,dawn,1399627,2023-09-16T05:45:08+10:00,3,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/quality_v2_relaxed/crops/splendid_fairywren/audioevent_8023212_crop_0.50s.wav,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/segments/site_257_item_1399627/site_257_item_1399627_audioevent_8023212/mel_spectrogram.png,resources/site_257_bowra-dry-a/layer_c_retrieval_cuckoo_fairywren/fairywren/retrieval_pool_v3_target30/manual_audit_splendid_fairywren_target30_supplement14.csv,Pass,selected to expand Fairywren retrieval pool to 30; pending human audit
22,human_pass_supplement_v3,splendid_fairywren,Splendid Fairywren,4716425,0.9943,0.470836,0.668232,dawn,1402663,2024-01-03T05:06:18+10:00,3,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/quality_v2_relaxed/crops/splendid_fairywren/audioevent_4716425_crop_0.50s.wav,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/segments/site_257_item_1402663/site_257_item_1402663_audioevent_4716425/mel_spectrogram.png,resources/site_257_bowra-dry-a/layer_c_retrieval_cuckoo_fairywren/fairywren/retrieval_pool_v3_target30/manual_audit_splendid_fairywren_target30_supplement14.csv,Pass,selected to expand Fairywren retrieval pool to 30; pending human audit
23,human_pass_supplement_v3,splendid_fairywren,Splendid Fairywren,5016886,0.9953,0.499139,0.666259,dawn,1399690,2023-09-15T06:04:18+10:00,3,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/quality_v2_relaxed/crops/splendid_fairywren/audioevent_5016886_crop_0.50s.wav,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/segments/site_257_item_1399690/site_257_item_1399690_audioevent_5016886/mel_spectrogram.png,resources/site_257_bowra-dry-a/layer_c_retrieval_cuckoo_fairywren/fairywren/retrieval_pool_v3_target30/manual_audit_splendid_fairywren_target30_supplement14.csv,Pass,selected to expand Fairywren retrieval pool to 30; pending human audit
